"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Feb-2024","EQ","7,539.95","7,541.15","7,379.05","7,498.60","7,448.00","7,443.30","7,439.31","9,200.00","5,882.55","73,951","55,01,44,589.05","16,589"
"12-Feb-2024","EQ","7,720.95","7,740.00","7,475.00","7,629.35","7,485.00","7,498.60","7,542.25","9,200.00","5,882.55","97,038","73,18,84,808.85","22,494"
"09-Feb-2024","EQ","7,734.95","7,758.95","7,521.00","7,726.40","7,649.00","7,629.35","7,593.95","9,200.00","5,882.55","1,11,039","84,32,25,024.95","25,365"
"08-Feb-2024","EQ","7,848.00","7,848.00","7,667.05","7,790.15","7,732.00","7,726.40","7,734.14","9,200.00","5,882.55","70,163","54,26,50,596.80","14,567"
"07-Feb-2024","EQ","7,800.00","7,850.15","7,760.60","7,721.80","7,787.00","7,790.15","7,791.20","9,200.00","5,882.55","76,592","59,67,43,493.80","15,801"
"06-Feb-2024","EQ","7,697.95","7,787.95","7,643.75","7,601.00","7,716.00","7,721.80","7,708.39","9,200.00","5,882.55","1,54,874","1,19,38,29,769.45","24,661"
"05-Feb-2024","EQ","7,641.05","7,739.00","7,583.30","7,641.00","7,595.00","7,601.00","7,641.86","9,200.00","5,882.55","82,526","63,06,51,791.00","16,666"
"02-Feb-2024","EQ","7,695.00","7,770.00","7,601.00","7,640.90","7,635.00","7,641.00","7,694.64","9,200.00","5,882.55","1,02,021","78,50,15,063.35","20,232"
"01-Feb-2024","EQ","7,610.00","7,700.00","7,600.00","7,605.15","7,646.00","7,640.90","7,640.28","9,200.00","5,882.55","81,838","62,52,64,988.05","19,951"
"31-Jan-2024","EQ","7,600.00","7,657.10","7,572.05","7,594.80","7,602.00","7,605.15","7,612.36","9,200.00","5,882.55","1,41,141","1,07,44,15,464.90","23,245"
